Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Bosnia and Herzegovina,80,SDG 6.4.2. Water Stress,4550,2012,2.185,K,,
Bosnia and Herzegovina,80,SDG 6.4.2. Water Stress,4550,2013,2.177,K,,
Botswana,20,SDG 6.4.2. Water Stress,4550,1992,1.182,K,,
Botswana,20,SDG 6.4.2. Water Stress,4550,1995,1.5,K,,
Botswana,20,SDG 6.4.2. Water Stress,4550,2000,2.029,K,,
Botswana,20,SDG 6.4.2. Water Stress,4550,2012,2.032,K,,
Botswana,20,SDG 6.4.2. Water Stress,4550,2016,2.105,K,,
Brazil,21,SDG 6.4.2. Water Stress,4550,1996,2.592,K,,
Brazil,21,SDG 6.4.2. Water Stress,4550,2006,2.746,K,,
Brazil,21,SDG 6.4.2. Water Stress,4550,2010,3.536,K,,
Brazil,21,SDG 6.4.2. Water Stress,4550,2016,3.0,K,,
Brunei Darussalam,26,SDG 6.4.2. Water Stress,4550,1991,2.864,K,,
Brunei Darussalam,26,SDG 6.4.2. Water Stress,4550,1994,3.466,K,,
Bulgaria,27,SDG 6.4.2. Water Stress,4550,1990,55.39,K,,
Bulgaria,27,SDG 6.4.2. Water Stress,4550,2002,48.7,K,,
Bulgaria,27,SDG 6.4.2. Water Stress,4550,2007,45.84,K,,
Bulgaria,27,SDG 6.4.2. Water Stress,4550,2012,42.24,K,,
Bulgaria,27,SDG 6.4.2. Water Stress,4550,2015,41.61,K,,
Burkina Faso,233,SDG 6.4.2. Water Stress,4550,1992,3.595,K,,
Burkina Faso,233,SDG 6.4.2. Water Stress,4550,2001,6.842,K,,
Burkina Faso,233,SDG 6.4.2. Water Stress,4550,2005,7.82,K,,
Burundi,29,SDG 6.4.2. Water Stress,4550,2000,10.47,K,,
Cabo Verde,35,SDG 6.4.2. Water Stress,4550,2001,6.767,I,,
Cambodia,115,SDG 6.4.2. Water Stress,4550,2006,1.037,K,,
Cameroon,32,SDG 6.4.2. Water Stress,4550,1992,0.5739,K,,
Cameroon,32,SDG 6.4.2. Water Stress,4550,2000,1.387,K,,
Canada,33,SDG 6.4.2. Water Stress,4550,1991,4.644,K,,
Canada,33,SDG 6.4.2. Water Stress,4550,1996,4.347,K,,
Canada,33,SDG 6.4.2. Water Stress,4550,2007,4.255,K,,
Canada,33,SDG 6.4.2. Water Stress,4550,2011,3.666,K,,
Canada,33,SDG 6.4.2. Water Stress,4550,2015,3.68,K,,
Central African Republic,37,SDG 6.4.2. Water Stress,4550,2000,0.3065,K,,
Central African Republic,37,SDG 6.4.2. Water Stress,4550,2005,0.3356,K,,
Chad,39,SDG 6.4.2. Water Stress,4550,2002,4.146,K,,
Chad,39,SDG 6.4.2. Water Stress,4550,2005,4.295,K,,
Chile,40,SDG 6.4.2. Water Stress,4550,1992,5.152,K,,
Chile,40,SDG 6.4.2. Water Stress,4550,2006,8.979,K,,
China,351,SDG 6.4.2. Water Stress,4550,1990,36.52,K,,
China,351,SDG 6.4.2. Water Stress,4550,1993,38.38,K,,
China,351,SDG 6.4.2. Water Stress,4550,2000,40.16,K,,
China,351,SDG 6.4.2. Water Stress,4550,2007,41.73,K,,
China,351,SDG 6.4.2. Water Stress,4550,2012,43.81,K,,
China,351,SDG 6.4.2. Water Stress,4550,2015,43.4,K,,
Colombia,44,SDG 6.4.2. Water Stress,4550,2000,1.16,K,,
Colombia,44,SDG 6.4.2. Water Stress,4550,2008,1.762,K,,
Comoros,45,SDG 6.4.2. Water Stress,4550,1999,0.8333,,,
Congo,46,SDG 6.4.2. Water Stress,4550,2002,0.0274,K,,
Costa Rica,48,SDG 6.4.2. Water Stress,4550,2012,3.991,K,,
Costa Rica,48,SDG 6.4.2. Water Stress,4550,2015,5.445,K,,
Côte d'Ivoire,107,SDG 6.4.2. Water Stress,4550,1990,4.816,K,,
Côte d'Ivoire,107,SDG 6.4.2. Water Stress,4550,1994,5.394,K,,
Côte d'Ivoire,107,SDG 6.4.2. Water Stress,4550,2000,6.169,K,,
Côte d'Ivoire,107,SDG 6.4.2. Water Stress,4550,2005,6.782,K,,
Côte d'Ivoire,107,SDG 6.4.2. Water Stress,4550,2014,5.088,K,,
Croatia,98,SDG 6.4.2. Water Stress,4550,2012,1.488,K,,
Croatia,98,SDG 6.4.2. Water Stress,4550,2013,1.409,K,,
Cuba,49,SDG 6.4.2. Water Stress,4550,1995,17.93,K,,
Cuba,49,SDG 6.4.2. Water Stress,4550,2007,16.99,K,,
Cuba,49,SDG 6.4.2. Water Stress,4550,2013,23.94,K,,
Cyprus,50,SDG 6.4.2. Water Stress,4550,1990,30.48,K,,
Cyprus,50,SDG 6.4.2. Water Stress,4550,1993,28.43,K,,
Cyprus,50,SDG 6.4.2. Water Stress,4550,2002,23.33,K,,
Cyprus,50,SDG 6.4.2. Water Stress,4550,2007,22.43,K,,
Cyprus,50,SDG 6.4.2. Water Stress,4550,2012,27.38,K,,
Cyprus,50,SDG 6.4.2. Water Stress,4550,2016,29.8,K,,
Czechia,167,SDG 6.4.2. Water Stress,4550,1997,37.91,K,,
Czechia,167,SDG 6.4.2. Water Stress,4550,2002,29.01,K,,
Czechia,167,SDG 6.4.2. Water Stress,4550,2007,29.94,K,,
Czechia,167,SDG 6.4.2. Water Stress,4550,2012,28.0,K,,
Czechia,167,SDG 6.4.2. Water Stress,4550,2016,24.86,K,,
Democratic People's Republic of Korea,116,SDG 6.4.2. Water Stress,4550,2005,27.74,K,,
Democratic Republic of the Congo,250,SDG 6.4.2. Water Stress,4550,2000,0.1939,K,,
Democratic Republic of the Congo,250,SDG 6.4.2. Water Stress,4550,2005,0.2269,K,,
Denmark,54,SDG 6.4.2. Water Stress,4550,1990,33.69,K,,
Denmark,54,SDG 6.4.2. Water Stress,4550,1997,24.81,K,,
Denmark,54,SDG 6.4.2. Water Stress,4550,2002,17.66,K,,
Denmark,54,SDG 6.4.2. Water Stress,4550,2007,15.03,K,,
Denmark,54,SDG 6.4.2. Water Stress,4550,2012,17.23,K,,
Djibouti,72,SDG 6.4.2. Water Stress,4550,2000,6.267,I,,
Dominica,55,SDG 6.4.2. Water Stress,4550,1996,8.3,I,,
Dominica,55,SDG 6.4.2. Water Stress,4550,2000,8.3,I,,
Dominica,55,SDG 6.4.2. Water Stress,4550,2004,8.3,I,,
Dominica,55,SDG 6.4.2. Water Stress,4550,2010,10.0,I,,
Dominican Republic,56,SDG 6.4.2. Water Stress,4550,2000,26.96,K,,
Dominican Republic,56,SDG 6.4.2. Water Stress,4550,2005,30.21,K,,
Dominican Republic,56,SDG 6.4.2. Water Stress,4550,2010,39.55,K,,
Ecuador,58,SDG 6.4.2. Water Stress,4550,2000,6.407,K,,
Ecuador,58,SDG 6.4.2. Water Stress,4550,2005,6.782,K,,
Egypt,59,SDG 6.4.2. Water Stress,4550,1995,106.8,K,,
Egypt,59,SDG 6.4.2. Water Stress,4550,2000,103.9,K,,
Egypt,59,SDG 6.4.2. Water Stress,4550,2012,124.0,K,,
Egypt,59,SDG 6.4.2. Water Stress,4550,2017,119.5,K,,
El Salvador,60,SDG 6.4.2. Water Stress,4550,1992,4.547,K,,
El Salvador,60,SDG 6.4.2. Water Stress,4550,2000,8.584,K,,
El Salvador,60,SDG 6.4.2. Water Stress,4550,2005,13.21,K,,
Equatorial Guinea,61,SDG 6.4.2. Water Stress,4550,2000,0.1613,K,,
Eritrea,178,SDG 6.4.2. Water Stress,4550,2000,7.938,K,,
Eritrea,178,SDG 6.4.2. Water Stress,4550,2004,11.18,K,,
Estonia,63,SDG 6.4.2. Water Stress,4550,1992,28.45,K,,
Estonia,63,SDG 6.4.2. Water Stress,4550,1995,14.69,K,,
Estonia,63,SDG 6.4.2. Water Stress,4550,2002,15.29,K,,
Estonia,63,SDG 6.4.2. Water Stress,4550,2007,19.84,K,,
Estonia,63,SDG 6.4.2. Water Stress,4550,2012,17.64,K,,
Estonia,63,SDG 6.4.2. Water Stress,4550,2014,18.61,K,,
Eswatini,209,SDG 6.4.2. Water Stress,4550,2000,75.67,K,,
Ethiopia,238,SDG 6.4.2. Water Stress,4550,2002,17.0,K,,
Ethiopia,238,SDG 6.4.2. Water Stress,4550,2005,24.04,K,,
Ethiopia,238,SDG 6.4.2. Water Stress,4550,2016,32.26,K,,
Fiji,66,SDG 6.4.2. Water Stress,4550,2000,0.2862,K,,
Fiji,66,SDG 6.4.2. Water Stress,4550,2005,0.2974,K,,
Finland,67,SDG 6.4.2. Water Stress,4550,1990,5.566,K,,
Finland,67,SDG 6.4.2. Water Stress,4550,1995,6.132,K,,
Finland,67,SDG 6.4.2. Water Stress,4550,1999,5.521,K,,
Finland,67,SDG 6.4.2. Water Stress,4550,2006,15.56,K,,
France,68,SDG 6.4.2. Water Stress,4550,1992,34.33,K,,
France,68,SDG 6.4.2. Water Stress,4550,1997,26.55,K,,
France,68,SDG 6.4.2. Water Stress,4550,2002,28.33,K,,
France,68,SDG 6.4.2. Water Stress,4550,2007,27.13,K,,
France,68,SDG 6.4.2. Water Stress,4550,2012,24.2,K,,
France,68,SDG 6.4.2. Water Stress,4550,2016,25.71,K,,
Gabon,74,SDG 6.4.2. Water Stress,4550,2000,0.4343,K,,
Gabon,74,SDG 6.4.2. Water Stress,4550,2005,0.5022,K,,
Gambia,75,SDG 6.4.2. Water Stress,4550,2000,1.968,K,,
Georgia,73,SDG 6.4.2. Water Stress,4550,2005,5.906,K,,
Georgia,73,SDG 6.4.2. Water Stress,4550,2008,5.938,K,,
Germany,79,SDG 6.4.2. Water Stress,4550,1991,63.42,K,,
Germany,79,SDG 6.4.2. Water Stress,4550,1995,61.95,K,,
Germany,79,SDG 6.4.2. Water Stress,4550,2001,53.6,K,,
Germany,79,SDG 6.4.2. Water Stress,4550,2007,44.22,K,,
Germany,79,SDG 6.4.2. Water Stress,4550,2010,45.22,K,,
Germany,79,SDG 6.4.2. Water Stress,4550,2013,34.72,K,,
Ghana,81,SDG 6.4.2. Water Stress,4550,2000,4.281,K,,
Greece,84,SDG 6.4.2. Water Stress,4550,1992,16.24,K,,
Greece,84,SDG 6.4.2. Water Stress,4550,1997,17.57,K,,
Greece,84,SDG 6.4.2. Water Stress,4550,2002,18.66,K,,
Greece,84,SDG 6.4.2. Water Stress,4550,2007,19.41,K,,
Grenada,86,SDG 6.4.2. Water Stress,4550,2005,5.0,I,,
Grenada,86,SDG 6.4.2. Water Stress,4550,2014,7.05,I,,
Guatemala,89,SDG 6.4.2. Water Stress,4550,2006,5.743,K,,
Guinea,90,SDG 6.4.2. Water Stress,4550,2001,0.8512,K,,
Guinea-Bissau,175,SDG 6.4.2. Water Stress,4550,1991,0.1419,K,,
Guinea-Bissau,175,SDG 6.4.2. Water Stress,4550,1996,1.496,K,,
Guinea-Bissau,175,SDG 6.4.2. Water Stress,4550,2000,1.496,K,,
Guyana,91,SDG 6.4.2. Water Stress,4550,1992,3.333,K,,
Guyana,91,SDG 6.4.2. Water Stress,4550,2000,3.744,K,,
Guyana,91,SDG 6.4.2. Water Stress,4550,2010,3.299,K,,
Haiti,93,SDG 6.4.2. Water Stress,4550,1991,9.038,K,,
Haiti,93,SDG 6.4.2. Water Stress,4550,1995,11.85,K,,
Haiti,93,SDG 6.4.2. Water Stress,4550,2009,13.37,K,,
Honduras,95,SDG 6.4.2. Water Stress,4550,2003,4.622,K,,
Hungary,97,SDG 6.4.2. Water Stress,4550,1992,12.33,K,,
Hungary,97,SDG 6.4.2. Water Stress,4550,1996,10.38,K,,
Hungary,97,SDG 6.4.2. Water Stress,4550,2002,9.879,K,,
Hungary,97,SDG 6.4.2. Water Stress,4550,2007,9.644,K,,
Hungary,97,SDG 6.4.2. Water Stress,4550,2012,8.724,K,,
Iceland,99,SDG 6.4.2. Water Stress,4550,1992,0.2269,K,,
Iceland,99,SDG 6.4.2. Water Stress,4550,2002,0.2242,K,,
Iceland,99,SDG 6.4.2. Water Stress,4550,2004,0.2242,K,,
Iceland,99,SDG 6.4.2. Water Stress,4550,2012,4.853,K,,
Iceland,99,SDG 6.4.2. Water Stress,4550,2015,0.3782,K,,
India,100,SDG 6.4.2. Water Stress,4550,1990,51.34,K,,
India,100,SDG 6.4.2. Water Stress,4550,2000,62.68,K,,
India,100,SDG 6.4.2. Water Stress,4550,2010,66.49,K,,
Indonesia,101,SDG 6.4.2. Water Stress,4550,1990,9.909,K,,
Indonesia,101,SDG 6.4.2. Water Stress,4550,2000,15.11,K,,
Indonesia,101,SDG 6.4.2. Water Stress,4550,2016,29.68,K,,
Iran (Islamic Republic of),102,SDG 6.4.2. Water Stress,4550,1995,72.62,K,,
Iran (Islamic Republic of),102,SDG 6.4.2. Water Stress,4550,2001,78.48,K,,
Iran (Islamic Republic of),102,SDG 6.4.2. Water Stress,4550,2004,81.45,K,,
Iraq,103,SDG 6.4.2. Water Stress,4550,1990,60.11,K,,
Iraq,103,SDG 6.4.2. Water Stress,4550,1995,76.39,K,,
Iraq,103,SDG 6.4.2. Water Stress,4550,2000,92.68,K,,
Iraq,103,SDG 6.4.2. Water Stress,4550,2016,54.13,K,,
Ireland,104,SDG 6.4.2. Water Stress,4550,1994,5.659,K,,
Ireland,104,SDG 6.4.2. Water Stress,4550,2007,3.512,K,,
Ireland,104,SDG 6.4.2. Water Stress,4550,2009,3.643,K,,
Israel,105,SDG 6.4.2. Water Stress,4550,1990,136.7,K,,
Israel,105,SDG 6.4.2. Water Stress,4550,1995,132.2,K,,
Israel,105,SDG 6.4.2. Water Stress,4550,2002,133.1,K,,
Israel,105,SDG 6.4.2. Water Stress,4550,2004,122.4,K,,
Italy,106,SDG 6.4.2. Water Stress,4550,2000,39.72,K,,
Italy,106,SDG 6.4.2. Water Stress,4550,2008,47.36,K,,
Italy,106,SDG 6.4.2. Water Stress,4550,2015,30.13,K,,
Jamaica,109,SDG 6.4.2. Water Stress,4550,1993,8.572,I,,
Jamaica,109,SDG 6.4.2. Water Stress,4550,2007,7.5,I,,
Jamaica,109,SDG 6.4.2. Water Stress,4550,2016,12.51,I,,
Japan,110,SDG 6.4.2. Water Stress,4550,1992,42.02,K,,
Japan,110,SDG 6.4.2. Water Stress,4550,1997,41.01,K,,
Japan,110,SDG 6.4.2. Water Stress,4550,2002,38.83,K,,
Japan,110,SDG 6.4.2. Water Stress,4550,2007,38.05,K,,
Japan,110,SDG 6.4.2. Water Stress,4550,2009,37.34,K,,
Jordan,112,SDG 6.4.2. Water Stress,4550,1992,103.8,K,,
Jordan,112,SDG 6.4.2. Water Stress,4550,2002,81.75,K,,
Jordan,112,SDG 6.4.2. Water Stress,4550,2007,102.1,K,,
Jordan,112,SDG 6.4.2. Water Stress,4550,2012,94.03,K,,
Jordan,112,SDG 6.4.2. Water Stress,4550,2016,100.1,K,,
Kazakhstan,108,SDG 6.4.2. Water Stress,4550,1995,44.49,K,,
Kazakhstan,108,SDG 6.4.2. Water Stress,4550,2002,25.86,K,,
Kazakhstan,108,SDG 6.4.2. Water Stress,4550,2007,27.49,K,,
Kazakhstan,108,SDG 6.4.2. Water Stress,4550,2012,28.06,K,,
Kazakhstan,108,SDG 6.4.2. Water Stress,4550,2016,29.73,K,,
Kenya,114,SDG 6.4.2. Water Stress,4550,1990,16.89,K,,
Kenya,114,SDG 6.4.2. Water Stress,4550,2003,19.13,K,,
Kenya,114,SDG 6.4.2. Water Stress,4550,2010,26.53,K,,
Kenya,114,SDG 6.4.2. Water Stress,4550,2016,33.24,K,,
Kuwait,118,SDG 6.4.2. Water Stress,4550,1994,1275.0,,,
Kuwait,118,SDG 6.4.2. Water Stress,4550,2002,2075.0,,,
Kyrgyzstan,113,SDG 6.4.2. Water Stress,4550,1994,63.55,K,,
Kyrgyzstan,113,SDG 6.4.2. Water Stress,4550,2000,65.44,K,,
Kyrgyzstan,113,SDG 6.4.2. Water Stress,4550,2006,50.03,K,,
Lao People's Democratic Republic,120,SDG 6.4.2. Water Stress,4550,2005,2.277,K,,
Latvia,119,SDG 6.4.2. Water Stress,4550,1995,2.394,K,,
Latvia,119,SDG 6.4.2. Water Stress,4550,2002,1.441,K,,
Latvia,119,SDG 6.4.2. Water Stress,4550,2007,1.217,K,,
Latvia,119,SDG 6.4.2. Water Stress,4550,2012,1.463,K,,
Latvia,119,SDG 6.4.2. Water Stress,4550,2016,1.322,K,,
Lebanon,121,SDG 6.4.2. Water Stress,4550,1994,41.89,K,,
Lebanon,121,SDG 6.4.2. Water Stress,4550,2000,41.08,K,,
Lebanon,121,SDG 6.4.2. Water Stress,4550,2005,35.56,K,,
Lebanon,121,SDG 6.4.2. Water Stress,4550,2015,58.79,K,,
Lesotho,122,SDG 6.4.2. Water Stress,4550,2000,2.566,K,,
Liberia,123,SDG 6.4.2. Water Stress,4550,2000,0.237,K,,
Libya,124,SDG 6.4.2. Water Stress,4550,1990,680.0,I,,
Libya,124,SDG 6.4.2. Water Stress,4550,1994,657.1,I,,
Libya,124,SDG 6.4.2. Water Stress,4550,2000,615.4,I,,
Libya,124,SDG 6.4.2. Water Stress,4550,2005,688.9,I,,
Libya,124,SDG 6.4.2. Water Stress,4550,2012,822.9,I,,
Lithuania,126,SDG 6.4.2. Water Stress,4550,1995,31.34,K,,
Lithuania,126,SDG 6.4.2. Water Stress,4550,2001,19.96,K,,
Lithuania,126,SDG 6.4.2. Water Stress,4550,2007,16.32,K,,
Lithuania,126,SDG 6.4.2. Water Stress,4550,2017,19.96,K,,
Luxembourg,256,SDG 6.4.2. Water Stress,4550,1995,4.685,K,,
Luxembourg,256,SDG 6.4.2. Water Stress,4550,1999,5.017,K,,
Luxembourg,256,SDG 6.4.2. Water Stress,4550,2012,3.69,K,,
Luxembourg,256,SDG 6.4.2. Water Stress,4550,2016,3.648,K,,
Madagascar,129,SDG 6.4.2. Water Stress,4550,2000,11.19,K,,
Madagascar,129,SDG 6.4.2. Water Stress,4550,2006,11.35,K,,
Malawi,130,SDG 6.4.2. Water Stress,4550,1994,12.08,K,,
Malawi,130,SDG 6.4.2. Water Stress,4550,2002,17.09,K,,
Malawi,130,SDG 6.4.2. Water Stress,4550,2005,17.51,K,,
Malaysia,131,SDG 6.4.2. Water Stress,4550,1990,5.19,K,,
Malaysia,131,SDG 6.4.2. Water Stress,4550,1996,2.812,K,,
Malaysia,131,SDG 6.4.2. Water Stress,4550,2000,4.77,K,,
Malaysia,131,SDG 6.4.2. Water Stress,4550,2005,5.744,K,,
Maldives,132,SDG 6.4.2. Water Stress,4550,2008,15.67,I,,
Mali,133,SDG 6.4.2. Water Stress,4550,2006,8.003,K,,
Malta,134,SDG 6.4.2. Water Stress,4550,1995,58.42,,,
Malta,134,SDG 6.4.2. Water Stress,4550,2002,67.33,I,,
Malta,134,SDG 6.4.2. Water Stress,4550,2007,64.95,K,,
Malta,134,SDG 6.4.2. Water Stress,4550,2012,33.66,I,,
Malta,134,SDG 6.4.2. Water Stress,4550,2016,82.97,K,,
Mauritania,136,SDG 6.4.2. Water Stress,4550,2000,15.71,K,,
Mauritania,136,SDG 6.4.2. Water Stress,4550,2005,13.24,K,,
Mauritius,137,SDG 6.4.2. Water Stress,4550,1990,20.57,,,
Mauritius,137,SDG 6.4.2. Water Stress,4550,1995,22.36,,,
Mauritius,137,SDG 6.4.2. Water Stress,4550,2000,22.17,,,
Mauritius,137,SDG 6.4.2. Water Stress,4550,2003,26.35,,,
Mexico,138,SDG 6.4.2. Water Stress,4550,2002,27.12,K,,
Mexico,138,SDG 6.4.2. Water Stress,4550,2007,29.5,K,,
Mexico,138,SDG 6.4.2. Water Stress,4550,2012,30.72,K,,
Mexico,138,SDG 6.4.2. Water Stress,4550,2016,32.14,K,,
Mongolia,141,SDG 6.4.2. Water Stress,4550,1993,3.142,K,,
Mongolia,141,SDG 6.4.2. Water Stress,4550,2006,3.965,K,,
Mongolia,141,SDG 6.4.2. Water Stress,4550,2009,4.046,K,,
Mongolia,141,SDG 6.4.2. Water Stress,4550,2016,3.395,K,,
Morocco,143,SDG 6.4.2. Water Stress,4550,1992,52.99,K,,
Morocco,143,SDG 6.4.2. Water Stress,4550,1995,54.05,K,,
Morocco,143,SDG 6.4.2. Water Stress,4550,2002,71.14,K,,
Morocco,143,SDG 6.4.2. Water Stress,4550,2010,49.68,K,,
Mozambique,144,SDG 6.4.2. Water Stress,4550,1990,0.7194,K,,
Mozambique,144,SDG 6.4.2. Water Stress,4550,2001,1.051,K,,
Mozambique,144,SDG 6.4.2. Water Stress,4550,2015,1.751,K,,
Myanmar,28,SDG 6.4.2. Water Stress,4550,2000,5.799,K,,
Namibia,147,SDG 6.4.2. Water Stress,4550,1991,0.7601,K,,
Namibia,147,SDG 6.4.2. Water Stress,4550,1995,0.8157,K,,
Namibia,147,SDG 6.4.2. Water Stress,4550,2002,0.8616,K,,
Nepal,149,SDG 6.4.2. Water Stress,4550,2000,8.369,K,,
Nepal,149,SDG 6.4.2. Water Stress,4550,2006,8.312,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,1991,15.16,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,1996,12.35,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,2002,16.91,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,2007,20.77,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,2012,20.35,K,,
Netherlands,150,SDG 6.4.2. Water Stress,4550,2014,16.93,K,,
New Zealand,156,SDG 6.4.2. Water Stress,4550,1999,2.559,K,,
New Zealand,156,SDG 6.4.2. Water Stress,4550,2006,4.0,K,,
New Zealand,156,SDG 6.4.2. Water Stress,4550,2010,4.239,K,,
Nicaragua,157,SDG 6.4.2. Water Stress,4550,2001,2.421,K,,
Nicaragua,157,SDG 6.4.2. Water Stress,4550,2011,2.696,K,,
Niger,158,SDG 6.4.2. Water Stress,4550,1988,2.133,K,,
Niger,158,SDG 6.4.2. Water Stress,4550,2005,4.196,K,,
Niger,158,SDG 6.4.2. Water Stress,4550,2016,7.453,K,,
Nigeria,159,SDG 6.4.2. Water Stress,4550,2000,7.992,K,,
Nigeria,159,SDG 6.4.2. Water Stress,4550,2005,8.969,K,,
Nigeria,159,SDG 6.4.2. Water Stress,4550,2010,9.667,K,,
North Macedonia,154,SDG 6.4.2. Water Stress,4550,1996,37.63,K,,
North Macedonia,154,SDG 6.4.2. Water Stress,4550,2002,15.32,K,,
North Macedonia,154,SDG 6.4.2. Water Stress,4550,2007,13.34,K,,
Norway,162,SDG 6.4.2. Water Stress,4550,1996,1.84,K,,
Norway,162,SDG 6.4.2. Water Stress,4550,2002,1.824,K,,
Norway,162,SDG 6.4.2. Water Stress,4550,2007,2.301,K,,
Occupied Palestinian Territory,299,SDG 6.4.2. Water Stress,4550,2001,38.37,K,,
Occupied Palestinian Territory,299,SDG 6.4.2. Water Stress,4550,2005,58.19,K,,
Occupied Palestinian Territory,299,SDG 6.4.2. Water Stress,4550,2016,51.12,K,,
Oman,221,SDG 6.4.2. Water Stress,4550,1991,85.5,I,,
Oman,221,SDG 6.4.2. Water Stress,4550,2000,92.86,I,,
Oman,221,SDG 6.4.2. Water Stress,4550,2003,84.71,I,,
Pakistan,165,SDG 6.4.2. Water Stress,4550,1991,95.45,K,,
Pakistan,165,SDG 6.4.2. Water Stress,4550,2000,105.9,K,,
Pakistan,165,SDG 6.4.2. Water Stress,4550,2008,112.6,K,,
Panama,166,SDG 6.4.2. Water Stress,4550,2010,0.7714,K,,
Panama,166,SDG 6.4.2. Water Stress,4550,2016,0.9008,K,,
Papua New Guinea,168,SDG 6.4.2. Water Stress,4550,2000,0.0915,K,,
